iter	Passed	Remaining
1287	12630	608
1288	12639	598
1289	12648	588
1290	12657	578
1291	12666	568
1292	12675	558
1293	12684	548
1294	12693	539
1295	12702	529
1296	12712	519
1297	12720	509
1298	12729	499
1299	12738	489
1300	12746	480
1301	12756	470
1302	12765	460
1303	12775	450
1304	12784	440
1305	12793	431
1306	12802	421
1307	12810	411
1308	12821	401
1309	12830	391
1310	12839	381
1311	12849	372
1312	12859	362
1313	12869	352
1314	12878	342
1315	12888	332
1316	12898	323
1317	12908	313
1318	12917	303
1319	12927	293
1320	12936	283
1321	12944	274
1322	12954	264
1323	12963	254
1324	12973	244
1325	12981	234
1326	12990	225
1327	12999	215
1328	13008	205
1329	13017	195
1330	13026	185
1331	13035	176
1332	13044	166
1333	13053	156
1334	13063	146
1335	13072	136
1336	13082	127
1337	13092	117
1338	13102	107
1339	13111	97
1340	13120	88
1341	13129	78
1342	13139	68
1343	13148	58
1344	13157	48
1345	13167	39
1346	13175	29
1347	13185	19
1348	13194	9
1349	13204	0
