iter	Passed	Remaining
559	19484	10229
560	19513	10191
561	19552	10158
562	19587	10124
563	19614	10085
564	19647	10049
565	19684	10016
566	19723	9983
567	19761	9950
568	19798	9916
569	19831	9880
570	19866	9846
571	19898	9810
572	19935	9776
573	19968	9740
574	20004	9706
575	20034	9669
576	20068	9634
577	20101	9598
578	20133	9562
579	20163	9525
580	20198	9491
581	20225	9452
582	20255	9415
583	20294	9382
584	20331	9348
585	20359	9311
586	20395	9276
587	20424	9239
588	20453	9202
589	20480	9164
590	20508	9126
591	20535	9088
592	20566	9051
593	20601	9017
594	20629	8979
595	20666	8946
596	20695	8908
597	20732	8875
598	20771	8842
599	20806	8808
600	20842	8773
601	20873	8737
602	20903	8701
603	20941	8667
604	20969	8630
605	21001	8594
606	21034	8559
607	21063	8522
608	21096	8486
609	21133	8453
610	21173	8420
611	21208	8386
612	21237	8349
613	21262	8311
614	21291	8274
615	21322	8238
616	21352	8201
617	21388	8167
618	21415	8130
619	21451	8096
620	21484	8061
621	21515	8025
622	21541	7987
623	21572	7951
624	21603	7915
625	21633	7879
626	21672	7846
627	21708	7812
628	21739	7776
629	21766	7739
630	21793	7701
631	21822	7665
632	21850	7628
633	21877	7591
634	21909	7556
635	21939	7520
636	21973	7485
637	22005	7449
638	22035	7414
639	22058	7375
640	22091	7340
641	22122	7305
642	22160	7272
643	22186	7234
644	22222	7200
645	22260	7167
646	22289	7131
647	22323	7096
648	22359	7062
649	22397	7029
650	22436	6996
651	22465	6960
652	22500	6925
653	22526	6888
654	22555	6852
655	22580	6815
656	22610	6779
657	22639	6743
658	22666	6706
659	22693	6670
660	22726	6635
661	22756	6600
662	22779	6562
663	22804	6525
664	22832	6489
665	22862	6453
666	22887	6416
667	22917	6381
668	22948	6346
669	22975	6309
670	23003	6273
671	23032	6237
672	23064	6203
673	23103	6169
674	23139	6136
675	23166	6100
676	23194	6064
677	23215	6026
678	23248	5991
679	23278	5956
680	23307	5921
681	23335	5885
682	23365	5849
683	23396	5814
684	23422	5778
685	23451	5743
686	23480	5707
687	23509	5672
688	23542	5637
689	23569	5602
690	23597	5566
691	23625	5530
692	23653	5495
693	23677	5458
694	23704	5423
695	23730	5387
696	23757	5351
697	23779	5314
698	23804	5278
699	23832	5243
700	23858	5207
701	23883	5171
702	23907	5135
703	23939	5100
704	23968	5065
705	23992	5029
706	24019	4994
707	24047	4958
708	24071	4922
709	24097	4887
710	24129	4853
711	24159	4818
712	24188	4783
713	24221	4749
714	24249	4714
715	24278	4679
716	24310	4645
717	24344	4611
718	24376	4576
719	24401	4541
720	24428	4506
721	24458	4471
722	24485	4436
723	24509	4400
724	24537	4365
725	24570	4331
726	24597	4296
727	24620	4261
728	24650	4226
729	24708	4197
730	24750	4164
731	24777	4129
732	24804	4094
733	24831	4059
734	24863	4025
735	24895	3991
736	24923	3956
737	24961	3923
738	24991	3889
739	25019	3854
740	25044	3819
741	25077	3785
742	25104	3750
743	25137	3716
744	25162	3681
745	25190	3646
746	25216	3611
747	25245	3577
748	25271	3542
749	25300	3508
750	25329	3473
751	25354	3438
752	25383	3404
753	25409	3369
754	25435	3335
755	25461	3300
756	25490	3266
757	25513	3231
758	25542	3197
759	25568	3162
760	25594	3127
761	25622	3093
762	25650	3059
763	25681	3025
764	25706	2990
765	25733	2956
766	25756	2921
767	25783	2887
768	25808	2852
769	25832	2818
770	25859	2783
771	25884	2749
772	25914	2715
773	25940	2681
774	25965	2646
775	25989	2612
776	26013	2577
777	26046	2544
778	26074	2510
779	26101	2476
780	26128	2442
781	26151	2407
782	26178	2373
783	26206	2339
784	26235	2306
785	26259	2271
786	26287	2237
787	26323	2204
788	26352	2171
789	26377	2136
790	26402	2102
791	26429	2068
792	26457	2035
793	26485	2001
794	26512	1967
795	26545	1934
796	26569	1900
797	26605	1867
798	26636	1833
799	26660	1799
800	26687	1765
801	26713	1732
802	26742	1698
803	26766	1664
804	26793	1630
805	26818	1597
806	26844	1563
807	26873	1529
808	26900	1496
809	26927	1462
810	26952	1429
811	26979	1395
812	27004	1361
813	27034	1328
814	27062	1295
815	27090	1261
816	27117	1228
817	27150	1194
818	27176	1161
819	27203	1127
820	27227	1094
821	27253	1060
822	27280	1027
823	27309	994
824	27342	961
825	27372	927
826	27394	894
827	27424	861
828	27452	827
829	27483	794
830	27512	761
831	27534	728
832	27558	694
833	27582	661
834	27617	628
835	27651	595
836	27681	562
837	27712	529
838	27735	495
839	27761	462
840	27798	429
841	27826	396
842	27853	363
